panel,method,method_name,training_updates,episodes,physical_distance_completed_episodes,completion_fraction,tracking_and_completion_fraction,recording_retrieval_fraction_all,reference_retrieval_fraction_all,planar_rmse,vx_rmse,vy_rmse,wz_rmse,mean_foot_slip_mps,calf_contact_fraction,mean_action_delta_rms,kinematic_contact_transition_hz,physical_posture_distance,physical_feet_distance,physical_contact_distance,physical_joints_distance,physical_composite_distance,recording_retrieval_fraction_completed,reference_retrieval_fraction_completed
pb_u,pb,CODES (ours),20000,1170,1167,0.9986111111111111,0.9744047619047619,0.25535714285714284,0.23154761904761906,0.08617902387666863,0.06983304779380964,0.04317483498581609,0.15063189353973439,0.03959535724574938,0.00515267857142857,1.282528834311098,5.873920221733314,0.36959230462757875,0.41925468893457607,1.7024652266592821,0.4784533387155448,1.0128985720066785,0.2553974979822437,0.23158797417271995
pb_u,u,No coarse terms,20000,1170,1170,1.0,0.9799603174603174,0.1839285714285714,0.16726190476190478,0.08501267227751681,0.07330555983357165,0.03556736982304155,0.14450176610451781,0.03844418928003131,0.0033133928571428576,1.281681676611068,5.7618650131171005,0.3546379039816064,0.4514207346718296,2.046949469127656,0.5232098650300451,1.1789193863723015,0.1839285714285714,0.16726190476190478
pb_vq,pb,CODES (ours),20000,420,417,0.990909090909091,0.908080808080808,0.4575757575757576,0.4575757575757576,0.09447203922001965,0.0777083659386722,0.044721941754988184,0.18262515803650173,0.03932213457101354,0.007211616161616161,1.302810887538323,6.088775905971232,0.4955778781827584,0.5291937080820044,1.8261045264680362,0.5462027395022773,1.07270732347512,0.4575757575757576,0.4575757575757576
pb_vq,vq,VQ-VAE,20000,420,420,1.0,0.9772727272727273,0.24393939393939393,0.24393939393939393,0.10048168136037763,0.09240333515978114,0.028364287885324257,0.11531148418790194,0.03658695028291667,0.002490909090909091,1.0405815352394123,5.415844589467294,0.685749909055783,0.6406382326570733,1.6189332008321444,0.6290788179597573,1.0570198885530628,0.24393939393939393,0.24393939393939393
